Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff
874 SRSE_M_17-29 ,429,429,429,429.0,0.0,0.0,0.0
757 SRSE_M_11 (S) ,302,305,304,304.5,2.5,0.5,0.5
767 SRSE_M_12 (S) ,276,271,278,277.0,1.0,6.0,1.0
333 SRSE_F_11 (S) ,345,343,351,344.0,1.0,1.0,7.0
430 SRSE_F_15 (S) ,387,386,381,386.5,0.5,0.5,5.5
442 SRSE_F_16 (S) ,386,387,389,386.5,0.5,0.5,2.5
491 SRSE_F_40-49 ,334,334,326,334.0,0.0,0.0,8.0
310 SRSE_F_11 (S) ,260,263,265,264.0,4.0,1.0,1.0
393 SRSE_F_13 (S) ,335,335,338,335.0,0.0,0.0,3.0
783 SRSE_M_13 (S) ,258,259,277,258.5,0.5,0.5,18.5
421 SRSE_F_14 (S) ,301,301,287,301.0,0.0,0.0,14.0
340 SRSE_F_11 (S) ,284,283,284,284.0,0.0,1.0,0.0
447 SRSE_F_17 (S) ,438,438,442,438.0,0.0,0.0,4.0
395 SRSE_F_13 (S) ,330,330,328,330.0,0.0,0.0,2.0
789 SRSE_M_14 (S) ,377,377,374,377.0,0.0,0.0,3.0
379 SRSE_F_13 (S) ,383,383,385,383.0,0.0,0.0,2.0
366 SRSE_F_12 (S) ,287,282,289,288.0,1.0,6.0,1.0
792 SRSE_M_15-16 ,383,383,379,383.0,0.0,0.0,4.0
342 SRSE_F_11 (S) ,273,273,280,273.0,0.0,0.0,7.0
798 SRSE_M_30-49 ,482,485,476,483.5,1.5,1.5,7.5
475 SRSE_F_20-29 ,448,448,446,448.0,0.0,0.0,2.0
496 SRSE_F_50+ ,273,272,274,273.5,0.5,1.5,0.5
459 SRSE_F_18 (S) ,434,436,422,435.0,1.0,1.0,13.0
360 SRSE_F_12 (S) ,367,368,357,367.5,0.5,0.5,10.5
378 SRSE_F_12 (S) ,257,257,263,257.0,0.0,0.0,6.0

Station: 4940 speed scores and cummulative difference from calculated score
Entry,4940-1,4940-2,4940-3,Calc'd Score,4940-1 Diff,4940-2 Diff,4940-3 Diff
332 SRSE_F_11 (S) ,330,331,341,330.5,0.5,0.5,10.5
347 SRSE_F_12 (S) ,311,310,311,311.0,0.0,1.0,0.0
765 SRSE_M_11 (S) ,370,370,371,370.0,0.0,0.0,1.0
768 SRSE_M_12 (S) ,261,263,264,263.5,2.5,0.5,0.5
336 SRSE_F_11 (S) ,271,270,275,270.5,0.5,0.5,4.5
457 SRSE_F_17 (S) ,315,314,315,315.0,0.0,1.0,0.0
382 SRSE_F_13 (S) ,305,304,306,305.5,0.5,1.5,0.5
486 SRSE_F_30-39 ,309,309,309,309.0,0.0,0.0,0.0
455 SRSE_F_17 (S) ,411,411,411,411.0,0.0,0.0,0.0
444 SRSE_F_16 (S) ,244,245,246,245.5,1.5,0.5,0.5
796 SRSE_M_15-16 ,329,329,331,329.0,0.0,0.0,2.0
376 SRSE_F_12 (S) ,295,297,300,296.0,1.0,1.0,4.0
323 SRSE_F_11 (S) ,370,368,371,370.5,0.5,2.5,0.5
493 SRSE_F_40-49 ,199,199,200,199.0,0.0,0.0,1.0
418 SRSE_F_14 (S) ,432,431,432,432.0,0.0,1.0,0.0
356 SRSE_F_12 (S) ,389,387,384,388.0,1.0,1.0,4.0
400 SRSE_F_13 (S) ,306,307,307,307.0,1.0,0.0,0.0
779 SRSE_M_13 (S) ,361,360,360,360.0,1.0,0.0,0.0
338 SRSE_F_11 (S) ,222,223,221,222.5,0.5,0.5,1.5
396 SRSE_F_13 (S) ,339,339,339,339.0,0.0,0.0,0.0

Station: 4943 speed scores and cummulative difference from calculated score
Entry,4943-1,4943-2,4943-3,Calc'd Score,4943-1 Diff,4943-2 Diff,4943-3 Diff
390 SRSE_F_13 (S) ,398,399,404,398.5,0.5,0.5,5.5
450 SRSE_F_17 (S) ,382,383,382,382.0,0.0,1.0,0.0
775 SRSE_M_13 (S) ,350,350,350,350.0,0.0,0.0,0.0
403 SRSE_F_13 (S) ,302,293,304,303.0,1.0,10.0,1.0
337 SRSE_F_11 (S) ,273,275,274,274.5,1.5,0.5,0.5
804 SRSE_M_50+ ,284,284,280,284.0,0.0,0.0,4.0
350 SRSE_F_12 (S) ,267,279,268,267.5,0.5,11.5,0.5
424 SRSE_F_15 (S) ,401,402,401,401.0,0.0,1.0,0.0
439 SRSE_F_16 (S) ,360,360,360,360.0,0.0,0.0,0.0
484 SRSE_F_30-39 ,296,296,296,296.0,0.0,0.0,0.0
468 SRSE_F_19 ,410,410,410,410.0,0.0,0.0,0.0
314 SRSE_F_11 (S) ,288,286,290,289.0,1.0,3.0,1.0
374 SRSE_F_12 (S) ,284,283,285,284.5,0.5,1.5,0.5
764 SRSE_M_11 (S) ,292,287,294,293.0,1.0,6.0,1.0
432 SRSE_F_15 (S) ,416,417,417,417.0,1.0,0.0,0.0
351 SRSE_F_12 (S) ,316,317,317,317.0,1.0,0.0,0.0
408 SRSE_F_14 (S) ,358,357,358,358.0,0.0,1.0,0.0
331 SRSE_F_11 (S) ,319,318,321,318.5,0.5,0.5,2.5
761 SRSE_M_11 (S) ,279,279,279,279.0,0.0,0.0,0.0
322 SRSE_F_11 (S) ,345,346,344,345.5,0.5,0.5,1.5
348 SRSE_F_12 (S) ,331,327,332,331.5,0.5,4.5,0.5
407 SRSE_F_14 (S) ,389,390,396,389.5,0.5,0.5,6.5
